source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
meta,מפלגת נעם,2023-10-01,196,83.16666666666667,11.88095238095238,ILS,-1,4.432798960047305
meta,מקור ראשון,2023-09-24,195,7815.362464128919,1116.480352018417,ILS,-2,8.963974567280015
meta,מקור ראשון,2023-10-01,196,8306.664211023233,1186.666315860462,ILS,-1,9.024933766632639
meta,מקור ראשון,2023-10-08,197,4538.647266599562,648.3781809427945,ILS,0,8.420604593435419
meta,מקור ראשון,2023-10-15,198,4631.908144998202,661.7011635711717,ILS,1,8.440940058973226
meta,מקור ראשון,2023-10-22,199,4658.068947343931,665.4384210491329,ILS,2,8.44657091045036
meta,מרכז הנדלן,2023-09-24,195,8272.363997522083,1181.7662853602976,ILS,-2,9.020796476472269
meta,מרכז הנדלן,2023-10-01,196,6876.907899698342,982.4154142426204,ILS,-1,8.836069800338198
meta,מרכז הנדלן,2023-10-08,197,224.00892857142856,32.00127551020408,ILS,0,5.416140083956772
meta,מרכז הנדלן,2023-10-22,199,968.4769230769232,138.35384615384615,ILS,2,6.876756671487524
meta,סלע מאיר הוצאה לאור,2023-09-24,195,4163.538967405143,594.7912810578775,ILS,-2,8.334360856374515
meta,סלע מאיר הוצאה לאור,2023-10-01,196,2553.825,364.83214285714286,ILS,-1,7.845739007141357
meta,סלע מאיר הוצאה לאור,2023-10-08,197,294.87857142857143,42.125510204081635,ILS,0,5.689949138495802
meta,סלע מאיר הוצאה לאור,2023-10-15,198,44.95,6.421428571428572,ILS,1,3.827553848801696
meta,סלע מאיר הוצאה לאור,2023-10-22,199,44.95,6.421428571428572,ILS,2,3.827553848801696
meta,עומדים ביחד,2023-09-24,195,2583.854166666667,369.12202380952385,ILS,-2,7.857424370135142
meta,עומדים ביחד,2023-10-01,196,1252.4791666666667,178.92559523809524,ILS,-1,7.13367829732993
meta,עומדים ביחד,2023-10-08,197,596.25,85.17857142857143,ILS,0,6.392335786205919
meta,עומדים ביחד,2023-10-15,198,1296,185.1428571428571,ILS,1,7.167809184316444
meta,עומדים ביחד,2023-10-22,199,906.4403743961352,129.49148205659074,ILS,2,6.810627860835705
meta,עיריית אשקלון,2023-09-24,195,1419.1875000000002,202.74107142857147,ILS,-2,7.258544184132017
meta,עיריית אשקלון,2023-10-01,196,1661.9791666666667,237.42559523809524,ILS,-1,7.416365951553824
meta,עיריית אשקלון,2023-10-08,197,729.625,104.23214285714286,ILS,0,6.593900332226333
meta,עיריית אשקלון,2023-10-15,198,949.5,135.64285714285714,ILS,1,6.856988161928484
meta,עיריית אשקלון,2023-10-22,199,312.375,44.625,ILS,2,5.747400556478458
meta,צו חירום,2023-10-08,197,1099,157,ILS,0,7.003065458786462
meta,צו חירום,2023-10-15,198,249.83333333333337,35.69047619047619,ILS,1,5.524788707954921
meta,צו חירום,2023-10-22,199,749.1666666666667,107.02380952380952,ILS,2,6.620295404064878
meta,קרן ברל כצנלסון,2023-09-24,195,580.15,82.87857142857142,ILS,-2,6.365008899089717
meta,קרן ברל כצנלסון,2023-10-01,196,867.2666666666668,123.89523809523811,ILS,-1,6.766498887140112
meta,קרן ברל כצנלסון,2023-10-08,197,41.583333333333336,5.940476190476191,ILS,0,3.751462940415704
meta,קרן ברל כצנלסון,2023-10-15,198,458.625,65.51785714285714,ILS,1,6.130410939621436
meta,קרן ברל כצנלסון,2023-10-22,199,334.375,47.767857142857146,ILS,2,5.815249308745789
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-09-24,195,2186.875,312.4107142857143,ILS,-2,7.6906860321109995
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-01,196,3561.625,508.80357142857144,ILS,-1,8.178252911680644
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-08,197,7451.541666666667,1064.5059523809523,ILS,0,8.916310416501597
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-15,198,9563.333333333334,1366.1904761904764,ILS,1,9.165796180891542
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-22,199,416.5,59.5,ILS,2,6.0342845442909105
meta,שומרים,2023-09-24,195,2966.2319444444447,423.7474206349207,ILS,-2,7.995384791972257
meta,שומרים,2023-10-01,196,3540.2809523809524,505.75442176870746,ILS,-1,8.172243791630624
meta,שומרים,2023-10-08,197,2485.7023809523807,355.1003401360544,ILS,0,7.81871276673985
meta,שומרים,2023-10-15,198,1916.9722222222224,273.8531746031746,ILS,1,7.559023772659792
meta,שומרים,2023-10-22,199,1885.1130952380952,269.30187074829934,ILS,2,7.542273427057303
meta,שי קינן - shai keinan,2023-09-24,195,26253.30265151515,3750.471807359307,ILS,-2,10.175585165121817
meta,שי קינן - shai keinan,2023-10-01,196,67225.36174242425,9603.623106060608,ILS,-1,11.11582073742018
meta,שי קינן - shai keinan,2023-10-08,197,19762.46179653679,2823.2088280766848,ILS,0,9.891590148089938
meta,שי קינן - shai keinan,2023-10-15,198,16733.73630952381,2390.5337585034017,ILS,1,9.7252418566957
meta,שי קינן - shai keinan,2023-10-22,199,12803.729166666668,1829.1041666666667,ILS,2,9.457569847817732
meta,תנועת אם תרצו,2023-09-24,195,2912.202738009377,416.02896257276814,ILS,-2,7.977008352206485
meta,תנועת אם תרצו,2023-10-01,196,3123.732620072896,446.2475171532709,ILS,-1,8.047103996933227
meta,תנועת אם תרצו,2023-10-08,197,495.8092027704097,70.82988611005852,ILS,0,6.208206054542727
meta,תנועת אם תרצו,2023-10-15,198,694.1328838785735,99.16184055408192,ILS,1,6.544103027113721
meta,תנועת אם תרצו,2023-10-22,199,694.1328838785735,99.16184055408192,ILS,2,6.544103027113721
